id,food_cd,group_name,food_name,research_year,maker_name,ref_name,serving_size,calorie,carbohydrate,protein,province,sugars,salt,cholesterol,saturated_fatty_acids,trans_fat
1,D000006,구이류,꿩불고기,2019,충주,외식영양성분자료집 통합본(2012-2017년),500,368.8,39.7,33.5,8.5,16.9,1264.31,106.18,1.9,0.1
2,D000007,구이류,닭갈비,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,595.61,44.9,45.9,25.8,21.2,1535.83,193.4,6.0,0.2
3,D000008,구이류,닭갈비,2019,춘천,외식영양성분자료집 통합본(2012-2017년),300,558.47,23.1,45.5,31.6,8.5,1016.94,217.67,11.3,0.3
4,D000009,구이류,닭꼬치,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
5,D000010,구이류,더덕구이,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,184.0,31.1,3.1,5.2,11.6,743.37,0.12,0.8,0.0
6,D000012,구이류,돼지갈비,2019,서울특별시 마포구,외식영양성분자료집 통합본(2012-2017년),100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7,0.1
7,D000016,구이류,불고기,2019,광양,외식영양성분자료집 통합본(2012-2017년),150,395.29,7.8,34.4,25.2,7.9,560.71,68.85,6.6,0.4
8,D000017,구이류,붕장어소금구이,2019,고흥,외식영양성분자료집 통합본(2012-2017년),100,296.54,11.6,26.0,16.2,0.4,124.75,167.07,3.6,0.2
9,D000020,구이류,소양념갈비구이,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,989.15,26.2,60.1,71.6,13.9,1378.45,186.63,27.2,3.5
10,D000021,구이류,양념왕갈비,2019,수원,외식영양성분자료집 통합본(2012-2017년),150,480.81,13.7,27.1,35.3,6.8,548.76,58.52,13.0,2.2
11,D000022,구이류,양념장어구이,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.1,0.27
12,D000023,구이류,임연수구이,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,494.0,3.5,53.8,29.4,0.0,1568.96,212.61,6.1,1.7
13,D000025,구이류,햄버그스테이크,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.31
14,D000026,구이류,황태구이,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,437.57,26.9,47.8,15.4,14.2,1135.33,211.58,2.4,0.1
15,D000027,구이류,훈제오리,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,797.14,12.08,43.06,64.07,0.27,1220.37,171.0,15.98,0.39
16,D000028,국 및 탕류,게국지,2019,태안,외식영양성분자료집 통합본(2012-2017년),1100,415.25,31.7,44.9,12.1,10.8,4047.26,388.15,2.0,0.2
17,D000029,국 및 탕류,곰치국,2019,삼척,외식영양성분자료집 통합본(2012-2017년),1000,419.29,23.9,54.3,11.8,2.8,3802.06,476.47,1.4,0.1
18,D000030,국 및 탕류,굴국밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),650,683.0,88.4,42.4,17.8,0.3,1635.39,518.37,3.9,0.1
19,D000032,국 및 탕류,김치국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),450,89.0,10.5,5.4,2.8,2.9,1642.08,0.0,0.3,0.0
20,D000036,국 및 탕류,떡만둣국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
21,D000037,국 및 탕류,만둣국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,434.05,47.83,21.43,17.44,3.05,2367.99,94.52,4.24,0.05
22,D000038,국 및 탕류,맑은감자국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,221.0,34.6,8.3,5.5,5.2,1712.29,5.46,0.2,0.0
23,D000039,국 및 탕류,매생이국,2019,장흥,외식영양성분자료집 통합본(2012-2017년),500,119.0,13.4,10.0,2.8,0.4,1420.3,6.62,0.6,0.1
24,D000040,국 및 탕류,무된장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),450,104.0,14.7,6.1,2.4,5.9,1741.46,0.0,0.3,0.0
25,D000041,국 및 탕류,미소된장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,38.0,2.8,2.8,1.8,0.7,517.03,0.0,0.2,0.0
26,D000044,국 및 탕류,바지락조개국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),550,157.0,10.1,22.0,3.1,1.3,1596.17,89.36,0.6,0.0
27,D000046,국 및 탕류,뼈다귀해장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,714.0,23.4,74.6,35.7,5.7,3088.21,321.72,14.3,0.1
28,D000047,국 및 탕류,선지해장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,312.0,16.7,49.3,5.4,3.9,3074.53,230.52,2.7,0.1
29,D000049,국 및 탕류,소고기무국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,123.0,7.8,14.2,4.0,3.5,1067.02,38.43,1.3,0.1
30,D000054,국 및 탕류,시래기된장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),450,99.0,11.0,6.7,3.1,1.3,1523.66,0.0,0.3,0.0
31,D000060,국 및 탕류,올갱이국,2019,괴산,외식영양성분자료집 통합본(2012-2017년),600,144.26,13.0,13.7,4.2,1.6,2017.16,85.36,0.8,0.0
32,D000062,국 및 탕류,우거지해장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37,1.2,0.0
33,D000063,국 및 탕류,우렁된장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,245.0,19.2,24.6,7.7,3.6,2134.21,105.38,1.1,0.0
34,D000066,국 및 탕류,홍합미역국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),650,167.0,11.6,19.7,4.7,0.0,2043.68,58.4,0.9,0.0
35,D000067,국 및 탕류,황태해장국,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3,1.1,0.0
36,D000068,볶음류,고추잡채,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
37,D000070,볶음류,난자완스,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,346.25,19.15,21.63,20.35,0.49,703.23,76.76,4.59,0.23
38,D000071,기타,도토리묵말이,2019,대전,외식영양성분자료집 통합본(2012-2017년),1300,462.39,89.7,6.8,8.5,6.3,3206.03,0.0,1.2,0.0
39,D000072,튀김류,라조기,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,398.99,26.23,20.66,23.49,0.15,648.52,90.58,5.15,0.15
40,D000074,회류,물회,2019,포항,외식영양성분자료집 통합본(2012-2017년),700,529.36,55.3,34.4,18.9,20.0,2095.9,120.26,2.8,0.1
41,D000075,회류,생선물회,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),800,577.97,82.5,34.3,12.3,52.0,2779.74,101.88,2.0,0.0
